lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
162,0,70.0,9,17,3,3,0,0,0,1
105,2,118.8,9,4,4,2,2,3,0,1
65,0,0.0,3,23,4,0,0,0,0,1
15,1,65.0,12,27,3,1,0,0,0,1
4,0,65.0,8,31,2,0,1,0,0,1
15,1,116.75,9,9,4,4,0,0,0,1
3,0,195.0,9,26,4,0,1,3,4,1
56,1,93.6,11,23,4,3,0,0,0,0
185,0,79.2,12,16,4,2,1,3,0,0
166,0,110.0,11,1,3,3,0,0,0,0
55,0,104.0,4,6,3,1,0,1,0,1
47,1,60.0,11,7,3,2,2,0,3,1
28,2,156.25,4,11,4,3,1,1,0,1
32,2,168.3,3,26,4,1,0,0,3,1
134,1,119.85,6,9,4,5,2,0,0,0
103,2,186.0,11,7,4,3,1,0,0,1
45,0,71.1,3,11,4,2,0,3,0,0
27,0,108.0,9,30,3,2,0,0,0,1
188,0,130.0,6,15,4,2,0,0,0,0
24,1,104.0,12,18,4,1,2,0,0,1
99,2,150.3,8,8,4,1,1,0,3,1
63,0,125.55,10,20,4,3,0,0,3,0
9,0,169.0,7,23,4,1,0,0,0,0
3,2,81.6,12,12,4,3,1,0,0,1
4,0,111.0,4,1,4,2,0,0,0,0
56,0,137.44,10,9,4,4,2,0,1,1
1,1,89.0,4,8,4,1,0,3,0,1
22,1,130.0,10,25,4,4,0,0,0,1
10,1,91.0,6,23,4,1,0,0,0,1
207,3,108.9,10,4,4,1,0,0,0,1
103,0,78.3,3,18,4,2,1,0,0,1
86,1,88.83,3,23,4,4,0,0,0,0
135,1,92.28,6,14,4,4,0,0,0,0
76,0,127.8,7,9,4,1,2,0,3,0
1,0,129.0,5,12,4,1,0,3,0,1
99,1,132.6,5,23,4,3,1,0,3,1
14,0,62.5,5,27,3,1,0,0,0,1
250,0,95.0,9,26,3,3,1,0,0,0
10,0,120.0,11,10,4,1,0,0,0,0
90,2,144.13,7,7,3,5,2,0,3,1
153,2,118.8,10,17,4,3,1,0,0,0
53,2,89.4,5,18,4,1,0,3,0,1
188,0,130.0,6,15,3,2,0,0,0,0
28,0,97.0,1,8,3,2,0,1,0,1
19,1,139.13,9,23,4,2,0,0,0,1
36,2,152.1,7,2,4,1,2,0,0,1
67,0,80.75,4,4,4,4,1,3,0,0
24,0,104.0,12,1,4,3,1,0,0,1
116,0,61.0,2,28,3,1,2,0,0,0
61,1,106.25,9,3,3,2,2,1,0,1
2,1,57.98,2,5,4,2,1,3,0,1
151,0,80.0,1,19,3,3,0,0,0,1
9,1,80.3,1,19,4,1,0,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
17,2,97.0,12,28,4,0,1,0,0,1
159,0,65.0,4,9,3,1,1,0,0,1
274,2,107.0,8,9,4,3,0,0,0,0
87,1,159.3,8,8,4,2,1,0,3,1
39,0,194.85,9,21,4,1,0,1,0,1
85,1,132.6,5,15,4,2,2,0,3,1
54,0,85.0,4,30,3,1,2,3,0,1
8,0,177.5,12,3,4,1,1,0,5,1
33,0,216.0,10,5,4,2,0,0,5,0
32,0,73.0,11,20,3,2,0,0,0,1
6,0,74.69,12,17,4,2,0,0,3,1
101,2,109.83,8,20,4,1,2,0,1,1
249,0,80.75,10,22,4,2,2,0,0,0
121,0,91.48,7,27,4,2,0,0,3,0
0,0,102.0,3,4,3,2,0,0,0,1
177,0,100.0,6,3,3,2,0,0,0,0
1,2,121.0,4,22,4,2,1,0,0,1
101,0,222.17,10,23,4,5,2,1,5,0
71,0,120.0,6,14,3,3,0,0,0,1
69,1,75.0,12,1,3,3,0,0,0,1
15,0,124.0,8,2,4,2,0,3,0,1
37,0,95.0,10,13,3,3,0,0,0,1
128,1,114.3,8,8,4,3,1,0,0,1
2,0,66.0,1,14,2,1,0,0,0,1
3,1,118.58,10,10,4,0,1,0,0,1
39,1,74.8,11,15,4,5,2,3,0,0
0,1,177.0,6,21,4,1,0,0,3,1
1,2,221.33,10,6,4,3,0,0,5,1
45,0,109.49,6,18,4,1,1,0,3,0
77,0,107.95,4,16,4,2,2,0,3,0
19,0,151.2,9,26,4,1,1,0,4,1
256,1,115.0,6,15,3,2,0,1,0,0
31,1,117.3,3,2,4,4,0,0,3,1
308,0,52.0,11,25,3,2,0,0,0,0
11,1,81.0,2,14,4,0,2,3,0,1
19,2,175.0,7,5,4,4,0,0,3,1
65,3,135.9,9,27,4,3,0,0,0,1
12,0,61.0,1,16,3,2,2,0,0,1
1,1,135.0,6,22,4,1,0,0,0,1
14,0,65.0,11,29,2,1,0,0,0,1
69,0,120.0,6,12,4,4,2,0,0,0
3,0,153.0,8,11,4,1,0,3,5,1
76,2,126.9,6,17,4,2,2,0,0,1
102,0,79.2,12,5,4,1,1,3,0,0
4,0,63.8,1,25,3,3,1,0,0,1
210,0,105.4,10,21,3,2,2,0,0,0
40,0,127.16,8,28,4,5,2,0,0,1
22,0,109.0,12,3,3,1,2,0,0,1
66,0,99.9,4,4,4,1,1,0,0,1
9,1,125.33,4,8,4,2,1,0,0,1
188,0,80.75,6,2,3,3,0,0,0,0
5,2,141.5,9,8,4,3,1,3,0,1
50,1,86.4,9,24,4,1,0,3,0,1
77,0,140.4,5,17,4,3,0,0,3,0
0,1,115.0,8,10,4,0,1,0,0,1
88,1,77.35,3,20,4,3,2,0,0,1
280,0,110.0,9,19,3,2,1,0,0,0
128,1,123.3,10,29,4,1,2,0,3,0
28,1,108.42,6,14,4,3,0,0,3,1
104,0,150.3,8,24,4,4,0,0,3,0
74,0,132.3,10,21,4,2,0,0,3,0
64,0,130.0,5,17,2,2,0,0,0,1
57,1,40.0,7,20,2,3,0,0,0,1
30,0,97.02,10,6,4,1,0,3,0,0
0,0,126.0,10,4,4,0,2,0,0,1
305,0,89.0,11,4,3,2,1,0,0,0
12,1,66.0,1,24,2,1,2,0,0,1
41,1,149.4,9,18,4,1,2,0,3,0
211,0,100.0,5,20,4,2,0,0,0,0
102,0,87.0,10,16,3,2,0,1,0,1
39,0,101.5,8,14,3,2,0,1,0,1
2,1,120.0,10,1,4,1,0,0,0,1
50,2,97.2,10,9,4,0,1,3,0,1
88,1,90.68,10,29,4,2,2,0,0,1
4,0,66.0,3,7,2,1,1,0,0,1
73,1,89.25,10,26,4,3,1,0,0,1
1,0,81.0,8,8,4,4,2,3,0,1
1,0,105.0,8,10,4,3,1,0,0,1
72,0,108.0,9,18,3,1,0,1,0,1
88,0,0.0,12,4,1,2,0,0,0,1
15,1,70.0,12,27,3,5,1,0,0,1
168,0,85.0,4,22,3,2,1,0,0,0
304,0,89.0,11,3,3,3,0,0,0,0
10,2,83.55,2,13,4,1,1,0,0,1
79,1,132.6,6,7,4,5,0,0,3,1
6,1,95.0,1,26,4,1,0,0,0,1
12,0,76.29,12,3,4,2,2,3,0,1
99,0,121.5,7,16,4,1,0,0,0,0
114,0,75.0,7,1,3,2,1,0,0,0
45,0,71.1,3,12,4,1,1,3,0,0
20,0,95.0,5,11,3,4,0,0,0,1
19,0,69.0,12,5,4,2,2,0,0,1
202,0,86.75,7,21,4,1,0,0,1,0
40,2,94.5,9,19,4,2,2,0,0,1
56,0,82.0,9,17,3,2,0,1,0,1
5,0,167.0,8,21,4,0,1,0,0,0
133,1,84.33,3,11,3,2,1,0,0,1
320,1,115.0,8,18,3,2,0,1,0,0
0,0,75.0,12,21,2,0,1,0,0,1
80,2,85.5,3,25,4,2,1,0,0,1
322,0,80.0,5,19,3,3,1,0,0,0
6,0,0.0,12,10,4,2,0,1,0,1
184,1,90.95,8,27,4,2,2,0,0,1
3,1,0.0,9,12,1,1,0,0,1,1
36,1,107.1,10,16,4,0,1,0,0,0
36,0,112.0,10,13,3,3,0,1,0,1
78,2,151.2,10,7,4,2,1,0,3,1
279,0,110.0,10,12,3,3,0,0,0,0
39,0,109.0,8,14,3,2,0,1,0,1
110,1,190.8,10,14,4,2,0,0,5,1
99,1,96.3,4,13,4,2,0,0,0,0
53,1,88.0,11,4,4,2,0,3,0,1
192,0,95.0,6,24,3,2,0,0,0,1
53,2,118.8,10,4,4,3,0,0,0,1
58,1,66.45,2,29,4,7,3,0,0,1
14,0,132.33,3,4,4,7,2,1,0,0
14,1,91.43,8,17,4,4,1,3,0,1
9,1,149.0,9,22,4,1,0,3,0,1
55,2,207.0,10,18,4,5,1,0,5,1
40,0,85.0,10,25,3,3,0,0,0,1
9,1,12.0,10,20,4,1,0,0,3,1
303,0,78.0,8,19,3,3,2,0,0,0
6,2,144.57,6,10,4,5,2,0,3,1
15,1,141.68,9,15,4,2,0,0,3,1
71,1,93.08,4,24,4,2,2,0,0,1
120,1,103.5,5,2,4,1,1,3,0,1
4,3,122.0,8,17,4,3,1,0,0,1
8,2,0.0,12,28,4,1,0,3,0,1
28,2,75.0,9,27,3,1,0,0,0,1
163,0,100.0,6,5,3,2,2,0,0,0
18,2,210.0,11,7,4,2,1,0,3,1
81,0,65.0,3,25,3,2,2,0,0,0
21,2,105.0,9,4,4,2,2,0,0,1
9,0,111.0,11,25,4,1,0,0,0,1
56,1,93.6,12,8,4,3,0,0,0,1
136,1,145.3,8,12,4,2,0,0,3,1
26,1,118.0,3,7,3,3,1,0,0,1
5,0,90.0,8,10,4,4,1,0,0,0
41,0,83.0,9,4,3,1,0,1,0,1
289,0,67.0,10,17,3,1,0,0,0,1
31,1,197.65,9,5,4,2,1,0,6,1
35,2,166.58,9,26,4,4,2,0,0,1
10,0,63.75,10,22,3,3,1,0,3,1
61,0,91.0,10,4,3,0,2,0,0,1
2,0,74.0,12,2,2,1,0,0,0,1
81,0,89.31,3,23,4,5,2,0,0,1
120,2,140.59,5,12,4,3,1,0,0,1
0,0,0.0,9,22,1,1,0,0,0,1
51,1,68.47,12,8,4,3,0,0,0,1
34,0,224.67,9,23,3,3,0,1,0,0
273,0,95.0,5,13,3,2,1,0,0,0
177,1,72.25,6,30,3,3,0,0,0,1
134,2,89.85,7,12,4,4,0,0,0,1
54,0,65.0,11,18,2,1,0,0,0,1
2,0,70.0,2,17,3,4,1,0,0,1
245,0,110.0,7,6,3,4,2,0,0,0
54,2,168.3,7,25,4,5,1,0,3,1
53,0,65.75,3,6,4,3,2,3,0,1
77,0,140.4,5,1,4,0,2,0,3,1
81,0,96.0,7,16,3,1,2,0,0,1
55,1,127.82,3,31,3,1,0,0,0,1
14,0,151.0,7,1,4,1,0,0,0,0
107,0,120.0,6,10,3,2,0,0,0,1
1,0,183.5,12,31,4,3,0,3,0,1
1,0,95.0,9,20,0,1,0,0,0,1
159,1,114.75,5,13,4,2,2,0,0,0
49,1,145.61,12,28,4,4,1,1,0,1
2,1,89.0,5,9,4,0,1,3,0,1
9,0,65.0,11,23,2,2,0,0,0,1
271,0,95.0,9,21,3,3,0,1,0,0
377,1,115.0,10,14,4,2,0,1,0,0
0,2,196.0,10,7,4,3,0,0,5,1
110,0,153.0,7,9,4,3,2,1,3,0
122,1,87.58,7,23,4,7,4,0,3,1
146,2,146.7,7,8,4,1,0,0,3,1
0,2,150.0,8,17,4,1,0,0,0,1
72,2,87.3,4,3,4,1,2,0,0,1
55,1,74.8,11,11,4,5,2,3,0,0
38,0,69.52,2,13,4,1,0,0,1,1
35,2,88.4,12,3,4,3,2,0,0,1
68,2,132.3,10,18,4,3,0,0,3,1
44,0,96.3,6,18,3,1,1,0,3,1
71,0,112.8,4,24,4,1,2,0,3,1
65,1,67.81,4,1,4,2,1,0,0,1
18,1,88.29,11,11,4,2,1,0,0,1
3,0,138.5,7,11,3,1,2,1,0,1
2,2,156.0,8,26,4,1,0,0,5,1
43,0,75.0,10,13,3,1,0,0,0,1
26,1,153.23,11,7,4,1,1,0,0,1
60,1,108.9,6,26,4,2,2,0,0,0
7,2,205.0,10,7,4,2,1,0,3,1
161,1,109.8,8,25,4,2,0,0,3,0
377,1,115.0,10,14,3,2,0,1,0,0
53,1,98.6,3,29,4,4,0,0,3,1
3,1,87.78,10,5,4,0,1,3,0,1
259,0,90.0,5,5,3,3,0,0,0,0
42,1,104.42,11,16,4,4,1,0,0,1
12,1,147.0,12,30,4,2,0,0,0,1
17,1,107.7,2,19,4,7,3,0,3,0
84,0,131.4,8,15,4,3,1,0,3,1
60,0,114.57,4,30,3,1,1,0,0,1
128,2,76.5,8,8,4,1,1,0,0,1
30,0,121.0,9,30,3,2,0,1,0,1
92,1,149.4,5,19,4,1,0,0,3,1
269,0,70.0,12,29,3,3,2,0,0,1
107,0,80.75,10,3,3,3,1,0,0,1
39,0,129.7,9,25,4,0,1,0,0,0
125,0,116.1,6,9,4,1,0,3,0,1
127,0,84.15,12,29,3,3,1,0,0,1
1,1,104.72,7,5,4,1,0,0,0,1
67,2,95.4,12,5,4,1,2,3,0,1
0,1,113.0,6,22,4,2,0,3,0,1
14,0,100.0,10,15,3,2,0,0,0,1
1,0,65.6,12,27,4,1,0,3,0,1
140,0,70.0,12,29,3,5,0,0,0,1
132,0,79.2,11,25,4,2,0,3,0,1
12,1,95.48,9,12,4,1,2,0,0,1
169,2,107.0,4,23,4,2,2,0,0,0
58,1,123.3,3,31,4,3,0,0,3,1
14,0,79.25,1,21,4,3,0,0,1,1
31,2,114.84,4,18,4,4,1,0,3,1
93,0,115.0,10,15,4,1,2,0,0,0
50,2,93.6,11,18,4,2,1,0,0,1
6,0,95.0,4,7,0,1,0,0,0,1
134,1,76.58,5,9,4,4,1,0,0,1
213,0,130.0,6,7,3,3,0,0,0,0
159,0,94.5,8,5,4,1,0,3,0,0
105,0,75.0,4,6,4,1,0,0,0,0
64,1,0.0,10,15,1,1,0,0,0,1
25,0,139.0,9,8,4,2,0,3,0,0
20,0,107.0,10,4,4,1,2,0,0,1
27,0,85.0,10,16,3,0,2,0,0,1
90,0,142.2,8,7,4,2,2,0,3,1
72,2,135.9,8,18,4,3,0,0,0,1
105,0,110.0,10,12,4,2,1,1,0,0
49,0,78.3,3,4,4,2,1,0,0,0
118,1,107.95,7,1,4,5,2,0,0,1
176,1,108.45,7,28,4,4,2,0,0,0
92,1,96.3,4,14,4,3,0,0,0,1
10,1,89.89,12,3,4,2,2,0,0,1
150,2,129.6,9,24,4,5,2,0,0,0
3,0,95.0,6,20,3,3,1,0,0,1
245,0,110.0,7,6,4,4,2,0,0,0
92,1,58.9,7,9,4,3,2,0,0,1
113,0,100.0,5,31,2,3,0,0,0,0
49,1,99.0,3,23,4,2,0,0,0,0
287,1,90.95,10,19,4,4,1,0,0,1
26,1,139.0,10,16,4,4,2,0,0,1
186,0,83.83,8,26,4,2,2,0,1,0
21,1,77.0,10,7,3,1,0,0,0,1
14,0,99.5,12,26,4,2,2,0,0,1
11,0,112.88,9,5,2,0,1,0,0,1
26,0,85.0,11,1,4,3,2,0,1,1
333,0,73.95,12,21,4,4,0,0,0,0
64,2,168.3,9,19,4,3,1,0,3,1
7,2,0.0,2,26,1,2,0,0,3,1
64,0,91.2,9,5,4,2,1,3,0,0
226,1,119.85,9,21,4,5,2,0,0,0
32,1,65.0,7,4,2,1,1,0,0,1
7,1,112.5,6,12,4,2,2,0,0,1
11,2,141.95,6,1,4,2,0,0,3,1
86,1,80.75,4,9,3,2,2,0,0,1
1,1,89.0,8,9,4,2,2,3,0,1
177,0,105.3,7,30,4,1,0,0,0,0
146,0,115.2,6,3,4,2,0,0,0,1
56,1,125.1,7,27,4,1,0,3,0,1
32,0,85.0,7,18,3,1,1,0,0,1
